Anime_id,Name,Genres,Ranked,Popularity,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,,,
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",39,1251960,182126,131625,62330,20688,8904,3184,1357,741,1580,,,
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",159,518,30043,49201,49505,22632,5805,1877,577,221,109,,,
6,Trigun,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",201,558913,75651,86142,49432,15376,5838,1965,664,316,533,,,
7,Witch Hunter Robin,"Action, Mystery, Police, Supernatural, Drama, Magic",2481,1467,2182,4806,10128,11618,5709,2920,1083,353,164,,,
8,Bouken Ou Beet,"Adventure, Fantasy, Shounen, Supernatural",3710,4369,312,529,1242,1713,1068,634,265,83,50,,,
15,Eyeshield 21,"Action, Sports, Comedy, Shounen",604,1003,9226,14904,22811,16734,6206,2621,795,336,140,,,
16,Hachimitsu to Clover,"Comedy, Drama, Josei, Romance, Slice of Life",468,687,11829,16309,20008,13062,5574,3148,1339,484,278,,,
17,Hungry Heart: Wild Striker,"Slice of Life, Comedy, Sports, Shounen",1317,3612,1123,1777,3102,3075,1286,602,218,88,31,,,
18,Initial D Fourth Stage,"Action, Cars, Sports, Drama, Seinen",360,1233,10948,15820,22379,12912,3874,1236,369,97,48,,,
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",169,614100,60652,43459,22045,8861,4381,2086,882,593,1177,,,
20,Naruto,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",8,1830540,234481,345563,286175,108155,46886,15477,6098,3582,5310,,,
21,One Piece,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",95,31,292445,166186,141755,85424,35342,19019,8201,3675,2616,,,
22,Tennis no Ouji-sama,"Action, Comedy, Sports, School, Shounen",1039,141832,12719,19791,16284,6624,3086,1071,443,210,225,,,
23,Ring ni Kakero 1,"Action, Shounen, Sports",6493,7333,69,61,152,260,236,143,88,40,32,,,
24,School Rumble,"Comedy, Romance, School, Shounen",625,514,17907,27623,38112,27327,11034,5396,1897,780,441,,,
25,Sunabouzu,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",1844,1284,3589,6664,12349,12702,6033,3079,1521,643,350,,,
26,Texhnolyze,"Action, Sci-Fi, Psychological, Drama",896,823,6856,8309,10851,8636,4429,2462,1456,684,411,,,
27,Trinity Blood,"Action, Supernatural, Vampire",2240,936,6091,9759,17761,20152,10273,5392,2250,873,456,,,
28,Yakitate!! Japan,"Comedy, Shounen",609,1666,4347,7425,11074,7965,3038,1248,345,118,56,,,
29,Zipang,"Action, Military, Sci-Fi, Historical, Drama, Seinen",1565,3985,430,874,1801,1696,662,279,114,38,13,,,
30,Neon Genesis Evangelion,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",208,54,186797,168056,157596,93532,38385,17571,9686,4408,3263,,,
31,Neon Genesis Evangelion: Death & Rebirth,"Drama, Mecha, Psychological, Sci-Fi",1742,833,13516,15245,23683,25396,12694,6313,2636,1042,654,,,
32,Neon Genesis Evangelion: The End of Evangelion,"Sci-Fi, Dementia, Psychological, Drama, Mecha",102,195,127081,95821,77593,41261,16444,7057,4493,2279,1941,,,
33,Kenpuu Denki Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",301,432190,65906,60815,29055,9477,3899,1748,671,456,842,,,
43,Koukaku Kidoutai,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",265,468279,65298,70881,39446,13704,5107,1842,675,292,486,,,
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",37,637,39845,33317,25800,11782,3575,1393,448,163,106,,,
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",220,345,38050,50380,57604,33295,10220,3867,1167,372,176,,,
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"Samurai, Historical, Drama, Shounen",2411,44334,3683,6232,6557,2832,1310,426,129,71,59,,,
47,Akira,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",197,566538,82148,91288,54906,22369,9462,4322,1737,992,1067,,,
48,.hack//Sign,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",3687,940,5266,8051,15537,20391,12617,7610,3688,1502,825,,,
