Rule: {'pages'} -> {'www'}, confidence: 0.5714
Rule: {'www'} -> {'pages'}, confidence: 0.6758
Rule: {'www'} -> {'web'}, confidence: 0.8721
Rule: {'web'} -> {'www'}, confidence: 0.8604
Rule: {'title'} -> {'people'}, confidence: 0.7017
Rule: {'people'} -> {'title'}, confidence: 0.5138
Rule: {'www'} -> {'people'}, confidence: 0.7215
Rule: {'people'} -> {'www'}, confidence: 0.4862
Rule: {'title'} -> {'web'}, confidence: 0.8151
Rule: {'web'} -> {'title'}, confidence: 0.8739
Rule: {'english'} -> {'people'}, confidence: 0.6141
Rule: {'people'} -> {'english'}, confidence: 0.4554
Rule: {'one'} -> {'web'}, confidence: 0.5068
Rule: {'web'} -> {'one'}, confidence: 0.6757
Rule: {'http'} -> {'title'}, confidence: 0.8497
Rule: {'title'} -> {'http'}, confidence: 0.6891
Rule: {'one'} -> {'like'}, confidence: 0.5101
Rule: {'like'} -> {'one'}, confidence: 0.6959
Rule: {'date'} -> {'www'}, confidence: 0.8120
Rule: {'www'} -> {'date'}, confidence: 0.8676
Rule: {'url'} -> {'archive'}, confidence: 0.6711
Rule: {'archive'} -> {'url'}, confidence: 0.9679
Rule: {'basic'} -> {'words'}, confidence: 0.8333
Rule: {'words'} -> {'basic'}, confidence: 0.7754
Rule: {'http'} -> {'web'}, confidence: 0.8497
Rule: {'web'} -> {'http'}, confidence: 0.7387
Rule: {'right'} -> {'thumb'}, confidence: 0.8065
Rule: {'thumb'} -> {'right'}, confidence: 0.5415
Rule: {'date'} -> {'https'}, confidence: 0.8419
Rule: {'https'} -> {'date'}, confidence: 0.8955
Rule: {'pages'} -> {'url'}, confidence: 0.5907
Rule: {'url'} -> {'pages'}, confidence: 0.6800
Rule: {'jpg'} -> {'title'}, confidence: 0.6446
Rule: {'title'} -> {'jpg'}, confidence: 0.6555
Rule: {'pages'} -> {'people'}, confidence: 0.6564
Rule: {'people'} -> {'pages'}, confidence: 0.5231
Rule: {'url'} -> {'cite'}, confidence: 0.9200
Rule: {'cite'} -> {'url'}, confidence: 0.9810
Rule: {'pages'} -> {'cite'}, confidence: 0.5676
Rule: {'cite'} -> {'pages'}, confidence: 0.6967
Rule: {'references'} -> {'thumb'}, confidence: 0.6680
Rule: {'thumb'} -> {'references'}, confidence: 0.6029
Rule: {'url'} -> {'thumb'}, confidence: 0.6800
Rule: {'thumb'} -> {'url'}, confidence: 0.5523
Rule: {'thumb'} -> {'https'}, confidence: 0.5668
Rule: {'https'} -> {'thumb'}, confidence: 0.7136
Rule: {'jpg'} -> {'cite'}, confidence: 0.5950
Rule: {'cite'} -> {'jpg'}, confidence: 0.6825
Rule: {'english'} -> {'basic'}, confidence: 0.6141
Rule: {'basic'} -> {'english'}, confidence: 0.8506
Rule: {'title'} -> {'cite'}, confidence: 0.8866
Rule: {'cite'} -> {'title'}, confidence: 1.0000
Rule: {'jpg'} -> {'https'}, confidence: 0.6405
Rule: {'https'} -> {'jpg'}, confidence: 0.7045
Rule: {'references'} -> {'pages'}, confidence: 0.6440
Rule: {'pages'} -> {'references'}, confidence: 0.6216
Rule: {'pages'} -> {'one'}, confidence: 0.6255
Rule: {'one'} -> {'pages'}, confidence: 0.5473
Rule: {'cite'} -> {'thumb'}, confidence: 0.6967
Rule: {'thumb'} -> {'cite'}, confidence: 0.5307
Rule: {'thumb'} -> {'people'}, confidence: 0.6931
Rule: {'people'} -> {'thumb'}, confidence: 0.5908
Rule: {'references'} -> {'web'}, confidence: 0.7520
Rule: {'web'} -> {'references'}, confidence: 0.8468
Rule: {'references'} -> {'different'}, confidence: 0.5800
Rule: {'different'} -> {'references'}, confidence: 0.6591
Rule: {'different'} -> {'thumb'}, confidence: 0.7091
Rule: {'thumb'} -> {'different'}, confidence: 0.5632
Rule: {'references'} -> {'http'}, confidence: 0.6640
Rule: {'http'} -> {'references'}, confidence: 0.8601
Rule: {'date'} -> {'thumb'}, confidence: 0.6838
Rule: {'thumb'} -> {'date'}, confidence: 0.5776
Rule: {'http'} -> {'url'}, confidence: 0.8756
Rule: {'url'} -> {'http'}, confidence: 0.7511
Rule: {'cite'} -> {'people'}, confidence: 0.7346
Rule: {'people'} -> {'cite'}, confidence: 0.4769
Rule: {'url'} -> {'web'}, confidence: 0.9156
Rule: {'web'} -> {'url'}, confidence: 0.9279
Rule: {'pages'} -> {'web'}, confidence: 0.5637
Rule: {'web'} -> {'pages'}, confidence: 0.6577
Rule: {'url'} -> {'people'}, confidence: 0.7244
Rule: {'people'} -> {'url'}, confidence: 0.5015
Rule: {'title'} -> {'thumb'}, confidence: 0.6597
Rule: {'thumb'} -> {'title'}, confidence: 0.5668
Rule: {'jpg'} -> {'people'}, confidence: 0.7479
Rule: {'people'} -> {'jpg'}, confidence: 0.5569
Rule: {'web'} -> {'thumb'}, confidence: 0.6622
Rule: {'thumb'} -> {'web'}, confidence: 0.5307
Rule: {'jpg'} -> {'url'}, confidence: 0.6157
Rule: {'url'} -> {'jpg'}, confidence: 0.6622
Rule: {'pages'} -> {'title'}, confidence: 0.6023
Rule: {'title'} -> {'pages'}, confidence: 0.6555
Rule: {'url'} -> {'title'}, confidence: 0.9289
Rule: {'title'} -> {'url'}, confidence: 0.8782
Rule: {'date'} -> {'title'}, confidence: 0.8376
Rule: {'title'} -> {'date'}, confidence: 0.8235
Rule: {'jpg'} -> {'date'}, confidence: 0.6446
Rule: {'date'} -> {'jpg'}, confidence: 0.6667
Rule: {'http'} -> {'www'}, confidence: 0.8964
Rule: {'www'} -> {'http'}, confidence: 0.7900
Rule: {'like'} -> {'thumb'}, confidence: 0.7558
Rule: {'thumb'} -> {'like'}, confidence: 0.5921
Rule: {'jpg'} -> {'like'}, confidence: 0.6364
Rule: {'like'} -> {'jpg'}, confidence: 0.7097
Rule: {'references'} -> {'like'}, confidence: 0.6080
Rule: {'like'} -> {'references'}, confidence: 0.7005
Rule: {'pages'} -> {'like'}, confidence: 0.5560
Rule: {'like'} -> {'pages'}, confidence: 0.6636
Rule: {'http'} -> {'https'}, confidence: 0.8238
Rule: {'https'} -> {'http'}, confidence: 0.7227
Rule: {'http'} -> {'cite'}, confidence: 0.8187
Rule: {'cite'} -> {'http'}, confidence: 0.7488
Rule: {'references'} -> {'one'}, confidence: 0.7360
Rule: {'one'} -> {'references'}, confidence: 0.6216
Rule: {'references'} -> {'title'}, confidence: 0.8200
Rule: {'title'} -> {'references'}, confidence: 0.8613
Rule: {'jpg'} -> {'thumb'}, confidence: 0.9256
Rule: {'thumb'} -> {'jpg'}, confidence: 0.8087
Rule: {'references'} -> {'www'}, confidence: 0.7760
Rule: {'www'} -> {'references'}, confidence: 0.8858
Rule: {'www'} -> {'one'}, confidence: 0.7078
Rule: {'one'} -> {'www'}, confidence: 0.5236
Rule: {'people'} -> {'https'}, confidence: 0.4831
Rule: {'https'} -> {'people'}, confidence: 0.7136
Rule: {'cite'} -> {'web'}, confidence: 0.9052
Rule: {'web'} -> {'cite'}, confidence: 0.8604
Rule: {'www'} -> {'https'}, confidence: 0.9041
Rule: {'https'} -> {'www'}, confidence: 0.9000
Rule: {'one'} -> {'people'}, confidence: 0.6284
Rule: {'people'} -> {'one'}, confidence: 0.5723
Rule: {'references'} -> {'people'}, confidence: 0.7360
Rule: {'people'} -> {'references'}, confidence: 0.5662
Rule: {'cite'} -> {'one'}, confidence: 0.7393
Rule: {'one'} -> {'cite'}, confidence: 0.5270
Rule: {'pages'} -> {'jpg'}, confidence: 0.5637
Rule: {'jpg'} -> {'pages'}, confidence: 0.6033
Rule: {'references'} -> {'https'}, confidence: 0.8000
Rule: {'https'} -> {'references'}, confidence: 0.9091
Rule: {'jpg'} -> {'web'}, confidence: 0.5950
Rule: {'web'} -> {'jpg'}, confidence: 0.6486
Rule: {'different'} -> {'one'}, confidence: 0.6909
Rule: {'one'} -> {'different'}, confidence: 0.5135
Rule: {'date'} -> {'one'}, confidence: 0.7051
Rule: {'one'} -> {'date'}, confidence: 0.5574
Rule: {'references'} -> {'date'}, confidence: 0.7840
Rule: {'date'} -> {'references'}, confidence: 0.8376
Rule: {'english'} -> {'words'}, confidence: 0.6805
Rule: {'words'} -> {'english'}, confidence: 0.8770
Rule: {'archive'} -> {'web'}, confidence: 0.9423
Rule: {'web'} -> {'archive'}, confidence: 0.6622
Rule: {'archive'} -> {'https'}, confidence: 0.9808
Rule: {'https'} -> {'archive'}, confidence: 0.6955
Rule: {'different'} -> {'people'}, confidence: 0.7227
Rule: {'people'} -> {'different'}, confidence: 0.4892
Rule: {'date'} -> {'people'}, confidence: 0.7051
Rule: {'people'} -> {'date'}, confidence: 0.5077
Rule: {'date'} -> {'web'}, confidence: 0.8120
Rule: {'web'} -> {'date'}, confidence: 0.8559
Rule: {'pages'} -> {'date'}, confidence: 0.5907
Rule: {'date'} -> {'pages'}, confidence: 0.6538
Rule: {'pages'} -> {'https'}, confidence: 0.5907
Rule: {'https'} -> {'pages'}, confidence: 0.6955
Rule: {'url'} -> {'https'}, confidence: 0.9200
Rule: {'https'} -> {'url'}, confidence: 0.9409
Rule: {'title'} -> {'one'}, confidence: 0.7143
Rule: {'one'} -> {'title'}, confidence: 0.5743
Rule: {'cite'} -> {'https'}, confidence: 0.9242
Rule: {'https'} -> {'cite'}, confidence: 0.8864
Rule: {'jpg'} -> {'www'}, confidence: 0.6322
Rule: {'www'} -> {'jpg'}, confidence: 0.6986
Rule: {'date'} -> {'http'}, confidence: 0.6923
Rule: {'http'} -> {'date'}, confidence: 0.8394
Rule: {'web'} -> {'people'}, confidence: 0.6892
Rule: {'people'} -> {'web'}, confidence: 0.4708
Rule: {'www'} -> {'title'}, confidence: 0.8904
Rule: {'title'} -> {'www'}, confidence: 0.8193
Rule: {'pages'} -> {'thumb'}, confidence: 0.6139
Rule: {'thumb'} -> {'pages'}, confidence: 0.5740
Rule: {'date'} -> {'archive'}, confidence: 0.6325
Rule: {'archive'} -> {'date'}, confidence: 0.9487
Rule: {'references'} -> {'cite'}, confidence: 0.7920
Rule: {'cite'} -> {'references'}, confidence: 0.9384
Rule: {'www'} -> {'url'}, confidence: 0.9087
Rule: {'url'} -> {'www'}, confidence: 0.8844
Rule: {'one'} -> {'https'}, confidence: 0.5338
Rule: {'https'} -> {'one'}, confidence: 0.7182
Rule: {'references'} -> {'url'}, confidence: 0.8120
Rule: {'url'} -> {'references'}, confidence: 0.9022
Rule: {'www'} -> {'cite'}, confidence: 0.8584
Rule: {'cite'} -> {'www'}, confidence: 0.8910
Rule: {'url'} -> {'one'}, confidence: 0.7067
Rule: {'one'} -> {'url'}, confidence: 0.5372
Rule: {'title'} -> {'https'}, confidence: 0.8319
Rule: {'https'} -> {'title'}, confidence: 0.9000
Rule: {'date'} -> {'cite'}, confidence: 0.8120
Rule: {'cite'} -> {'date'}, confidence: 0.9005
Rule: {'date'} -> {'url'}, confidence: 0.8632
Rule: {'url'} -> {'date'}, confidence: 0.8978
Rule: {'like'} -> {'people'}, confidence: 0.7880
Rule: {'people'} -> {'like'}, confidence: 0.5262
Rule: {'www'} -> {'thumb'}, confidence: 0.6986
Rule: {'thumb'} -> {'www'}, confidence: 0.5523
Rule: {'references'} -> {'jpg'}, confidence: 0.6480
Rule: {'jpg'} -> {'references'}, confidence: 0.6694
Rule: {'jpg'} -> {'one'}, confidence: 0.6488
Rule: {'one'} -> {'jpg'}, confidence: 0.5304
Rule: {'web'} -> {'https'}, confidence: 0.8784
Rule: {'https'} -> {'web'}, confidence: 0.8864
Rule: {'one'} -> {'thumb'}, confidence: 0.5878
Rule: {'thumb'} -> {'one'}, confidence: 0.6282
Rule: {'url'} -> {'cite', 'https'}, confidence: 0.8622
Rule: {'cite'} -> {'url', 'https'}, confidence: 0.9194
Rule: {'https'} -> {'url', 'cite'}, confidence: 0.8818
Rule: {'url', 'cite'} -> {'https'}, confidence: 0.9372
Rule: {'url', 'https'} -> {'cite'}, confidence: 0.9372
Rule: {'cite', 'https'} -> {'url'}, confidence: 0.9949
Rule: {'references'} -> {'one', 'cite'}, confidence: 0.6080
Rule: {'cite'} -> {'references', 'one'}, confidence: 0.7204
Rule: {'one'} -> {'references', 'cite'}, confidence: 0.5135
Rule: {'references', 'cite'} -> {'one'}, confidence: 0.7677
Rule: {'references', 'one'} -> {'cite'}, confidence: 0.8261
Rule: {'one', 'cite'} -> {'references'}, confidence: 0.9744
Rule: {'www'} -> {'title', 'web'}, confidence: 0.8219
Rule: {'title'} -> {'www', 'web'}, confidence: 0.7563
Rule: {'web'} -> {'www', 'title'}, confidence: 0.8108
Rule: {'www', 'title'} -> {'web'}, confidence: 0.9231
Rule: {'www', 'web'} -> {'title'}, confidence: 0.9424
Rule: {'title', 'web'} -> {'www'}, confidence: 0.9278
Rule: {'https'} -> {'url', 'people'}, confidence: 0.6909
Rule: {'url'} -> {'people', 'https'}, confidence: 0.6756
Rule: {'people'} -> {'url', 'https'}, confidence: 0.4677
Rule: {'url', 'https'} -> {'people'}, confidence: 0.7343
Rule: {'people', 'https'} -> {'url'}, confidence: 0.9682
Rule: {'url', 'people'} -> {'https'}, confidence: 0.9325
Rule: {'references'} -> {'title', 'https'}, confidence: 0.7480
Rule: {'title'} -> {'references', 'https'}, confidence: 0.7857
Rule: {'https'} -> {'references', 'title'}, confidence: 0.8500
Rule: {'references', 'title'} -> {'https'}, confidence: 0.9122
Rule: {'references', 'https'} -> {'title'}, confidence: 0.9350
Rule: {'title', 'https'} -> {'references'}, confidence: 0.9444
Rule: {'url'} -> {'title', 'one'}, confidence: 0.6800
Rule: {'title'} -> {'url', 'one'}, confidence: 0.6429
Rule: {'one'} -> {'url', 'title'}, confidence: 0.5169
Rule: {'url', 'title'} -> {'one'}, confidence: 0.7321
Rule: {'url', 'one'} -> {'title'}, confidence: 0.9623
Rule: {'title', 'one'} -> {'url'}, confidence: 0.9000
Rule: {'url'} -> {'cite', 'people'}, confidence: 0.6800
Rule: {'cite'} -> {'url', 'people'}, confidence: 0.7251
Rule: {'people'} -> {'url', 'cite'}, confidence: 0.4708
Rule: {'url', 'cite'} -> {'people'}, confidence: 0.7391
Rule: {'url', 'people'} -> {'cite'}, confidence: 0.9387
Rule: {'cite', 'people'} -> {'url'}, confidence: 0.9871
Rule: {'https'} -> {'cite', 'people'}, confidence: 0.6545
Rule: {'cite'} -> {'people', 'https'}, confidence: 0.6825
Rule: {'people'} -> {'cite', 'https'}, confidence: 0.4431
Rule: {'cite', 'https'} -> {'people'}, confidence: 0.7385
Rule: {'people', 'https'} -> {'cite'}, confidence: 0.9172
Rule: {'cite', 'people'} -> {'https'}, confidence: 0.9290
Rule: {'references'} -> {'one', 'https'}, confidence: 0.6040
Rule: {'one'} -> {'references', 'https'}, confidence: 0.5101
Rule: {'https'} -> {'references', 'one'}, confidence: 0.6864
Rule: {'references', 'one'} -> {'https'}, confidence: 0.8207
Rule: {'references', 'https'} -> {'one'}, confidence: 0.7550
Rule: {'one', 'https'} -> {'references'}, confidence: 0.9557
Rule: {'http'} -> {'url', 'https'}, confidence: 0.7979
Rule: {'url'} -> {'http', 'https'}, confidence: 0.6844
Rule: {'https'} -> {'http', 'url'}, confidence: 0.7000
Rule: {'http', 'url'} -> {'https'}, confidence: 0.9112
Rule: {'http', 'https'} -> {'url'}, confidence: 0.9686
Rule: {'url', 'https'} -> {'http'}, confidence: 0.7440
Rule: {'references'} -> {'http', 'title'}, confidence: 0.6160
Rule: {'http'} -> {'references', 'title'}, confidence: 0.7979
Rule: {'title'} -> {'references', 'http'}, confidence: 0.6471
Rule: {'references', 'http'} -> {'title'}, confidence: 0.9277
Rule: {'references', 'title'} -> {'http'}, confidence: 0.7512
Rule: {'http', 'title'} -> {'references'}, confidence: 0.9390
Rule: {'http'} -> {'www', 'cite'}, confidence: 0.7668
Rule: {'www'} -> {'http', 'cite'}, confidence: 0.6758
Rule: {'cite'} -> {'http', 'www'}, confidence: 0.7014
Rule: {'http', 'www'} -> {'cite'}, confidence: 0.8555
Rule: {'http', 'cite'} -> {'www'}, confidence: 0.9367
Rule: {'www', 'cite'} -> {'http'}, confidence: 0.7872
Rule: {'http'} -> {'title', 'web'}, confidence: 0.7824
Rule: {'title'} -> {'http', 'web'}, confidence: 0.6345
Rule: {'web'} -> {'http', 'title'}, confidence: 0.6802
Rule: {'http', 'title'} -> {'web'}, confidence: 0.9207
Rule: {'http', 'web'} -> {'title'}, confidence: 0.9207
Rule: {'title', 'web'} -> {'http'}, confidence: 0.7784
Rule: {'archive'} -> {'web', 'https'}, confidence: 0.9423
