1-itemset: {'redirect'}, support: 0.3644
1-itemset: {'different'}, support: 0.2304
1-itemset: {'date'}, support: 0.2450
1-itemset: {'pages'}, support: 0.2712
1-itemset: {'words'}, support: 0.1958
1-itemset: {'see'}, support: 0.1581
1-itemset: {'wikt'}, support: 0.1539
1-itemset: {'two'}, support: 0.1895
1-itemset: {'jpg'}, support: 0.2534
1-itemset: {'world'}, support: 0.1738
1-itemset: {'website'}, support: 0.1518
1-itemset: {'right'}, support: 0.1948
1-itemset: {'mean'}, support: 0.2031
1-itemset: {'title'}, support: 0.2492
1-itemset: {'person'}, support: 0.1654
1-itemset: {'time'}, support: 0.2010
1-itemset: {'thumb'}, support: 0.2901
1-itemset: {'basic'}, support: 0.1822
1-itemset: {'english'}, support: 0.2524
1-itemset: {'web'}, support: 0.2325
1-itemset: {'http'}, support: 0.2021
1-itemset: {'new'}, support: 0.1654
1-itemset: {'references'}, support: 0.2618
1-itemset: {'www'}, support: 0.2293
1-itemset: {'example'}, support: 0.2115
1-itemset: {'url'}, support: 0.2356
1-itemset: {'https'}, support: 0.2304
1-itemset: {'word'}, support: 0.1864
1-itemset: {'like'}, support: 0.2272
1-itemset: {'one'}, support: 0.3099
1-itemset: {'cite'}, support: 0.2209
1-itemset: {'people'}, support: 0.3403
1-itemset: {'archive'}, support: 0.1634
1-itemset: {'work'}, support: 0.1696
1-itemset: {'system'}, support: 0.1518
1-itemset: {'wiktionary'}, support: 0.1665
2-itemset: {'pages', 'www'}, support: 0.1550
2-itemset: {'www', 'web'}, support: 0.2000
2-itemset: {'title', 'people'}, support: 0.1749
2-itemset: {'www', 'people'}, support: 0.1654
2-itemset: {'title', 'web'}, support: 0.2031
2-itemset: {'english', 'people'}, support: 0.1550
2-itemset: {'one', 'web'}, support: 0.1571
2-itemset: {'http', 'title'}, support: 0.1717
2-itemset: {'one', 'like'}, support: 0.1581
2-itemset: {'date', 'www'}, support: 0.1990
2-itemset: {'url', 'archive'}, support: 0.1581
2-itemset: {'basic', 'words'}, support: 0.1518
2-itemset: {'http', 'web'}, support: 0.1717
2-itemset: {'right', 'thumb'}, support: 0.1571
2-itemset: {'date', 'https'}, support: 0.2063
2-itemset: {'pages', 'url'}, support: 0.1602
2-itemset: {'jpg', 'title'}, support: 0.1634
2-itemset: {'pages', 'people'}, support: 0.1780
2-itemset: {'url', 'cite'}, support: 0.2168
2-itemset: {'pages', 'cite'}, support: 0.1539
2-itemset: {'references', 'thumb'}, support: 0.1749
2-itemset: {'url', 'thumb'}, support: 0.1602
2-itemset: {'thumb', 'https'}, support: 0.1644
2-itemset: {'jpg', 'cite'}, support: 0.1508
2-itemset: {'english', 'basic'}, support: 0.1550
2-itemset: {'title', 'cite'}, support: 0.2209
2-itemset: {'jpg', 'https'}, support: 0.1623
2-itemset: {'references', 'pages'}, support: 0.1686
2-itemset: {'pages', 'one'}, support: 0.1696
2-itemset: {'cite', 'thumb'}, support: 0.1539
2-itemset: {'thumb', 'people'}, support: 0.2010
2-itemset: {'references', 'web'}, support: 0.1969
2-itemset: {'references', 'different'}, support: 0.1518
2-itemset: {'different', 'thumb'}, support: 0.1634
2-itemset: {'references', 'http'}, support: 0.1738
2-itemset: {'date', 'thumb'}, support: 0.1675
2-itemset: {'http', 'url'}, support: 0.1770
2-itemset: {'cite', 'people'}, support: 0.1623
2-itemset: {'url', 'web'}, support: 0.2157
2-itemset: {'pages', 'web'}, support: 0.1529
2-itemset: {'url', 'people'}, support: 0.1707
2-itemset: {'title', 'thumb'}, support: 0.1644
2-itemset: {'jpg', 'people'}, support: 0.1895
2-itemset: {'web', 'thumb'}, support: 0.1539
2-itemset: {'jpg', 'url'}, support: 0.1560
2-itemset: {'pages', 'title'}, support: 0.1634
2-itemset: {'url', 'title'}, support: 0.2188
2-itemset: {'date', 'title'}, support: 0.2052
2-itemset: {'jpg', 'date'}, support: 0.1634
2-itemset: {'http', 'www'}, support: 0.1812
2-itemset: {'like', 'thumb'}, support: 0.1717
2-itemset: {'jpg', 'like'}, support: 0.1613
2-itemset: {'references', 'like'}, support: 0.1592
2-itemset: {'pages', 'like'}, support: 0.1508
2-itemset: {'http', 'https'}, support: 0.1665
2-itemset: {'http', 'cite'}, support: 0.1654
2-itemset: {'references', 'one'}, support: 0.1927
2-itemset: {'references', 'title'}, support: 0.2147
2-itemset: {'jpg', 'thumb'}, support: 0.2346
2-itemset: {'references', 'www'}, support: 0.2031
2-itemset: {'www', 'one'}, support: 0.1623
2-itemset: {'people', 'https'}, support: 0.1644
2-itemset: {'cite', 'web'}, support: 0.2000
2-itemset: {'www', 'https'}, support: 0.2073
2-itemset: {'one', 'people'}, support: 0.1948
2-itemset: {'references', 'people'}, support: 0.1927
2-itemset: {'cite', 'one'}, support: 0.1634
2-itemset: {'pages', 'jpg'}, support: 0.1529
2-itemset: {'references', 'https'}, support: 0.2094
2-itemset: {'jpg', 'web'}, support: 0.1508
2-itemset: {'different', 'one'}, support: 0.1592
